#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:true" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:true" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:true" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:true" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true">
#                    <taxonset id="TaxonSet.true" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ePopSizePrior.t:true" name="distribution" x="@ePopSize.t:true">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:true" name="distribution" x="@growthRate.t:true">
#            <LaplaceDistribution id="LaplaceDistribution.101" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mu">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="scale">1.0</parameter>
#            </LaplaceDistribution>
#        </prior>
#        <prior id="ucldStdevPrior.c:true" name="distribution">
#            <parameter id="ucldStdev.c:true" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true" id="treeLikelihood.true" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true">
#            <siteModel id="SiteModel.s:true" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:true" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:true">
#                <LogNormal S="@ucldStdev.c:true" id="LogNormalDistributionModel.c:true" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:true" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:true" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	CoalescentExponential	ePopSize	growthRate
0	-9955.507234039955	-9948.321408499329	-7.185825540626394	-9948.321408499329	1.1659964637569127	0.1	1.043412037190711	0.006491686666487798	0.07790563169290718	-8.515715309513187	0.3	3.0E-4
1000	-8191.538338912244	-8176.375920673336	-15.162418238908618	-8176.375920673336	0.9898494797346215	0.0020555745037864766	0.999291570909489	4.36113964668716E-6	0.0020888207371090677	-15.174335410760325	0.9988068939664344	-2.1604364284299162
2000	-8186.85377461323	-8176.698314195013	-10.15546041821691	-8176.698314195013	0.9610211485562534	0.012414331307439306	0.9999078206011999	6.1032098462085756E-5	0.007783356143417659	-10.865627595063591	1.388750582867915	-0.2775282957141254
3000	-8188.5450792687625	-8179.042102038992	-9.50297722977008	-8179.042102038992	1.0708914802610268	0.019149390084387014	1.0150893328879633	2.054303797609215E-4	0.01412588889085952	-9.799703275723596	1.9721922939584187	-0.12304623385067193
4000	-8183.283484698277	-8175.189436797874	-8.09404790040254	-8175.189436797874	1.027050579268507	0.003705347635199657	0.9991706699031752	6.7014268068981175E-6	0.002590612271362978	-8.815557074109892	2.2535957717428365	0.36152596277371574
5000	-8186.742455152566	-8178.911275765502	-7.831179387064184	-8178.911275765502	1.0376902627936162	0.0015983674483694577	1.0003329211605425	2.621269956083578E-6	0.0016190140714091644	-6.128941765859891	8.675382881279752	1.8299291618868567
6000	-8185.249876474577	-8177.377121506453	-7.872754968124699	-8177.377121506453	1.030548956908989	0.0010377525408756844	0.9996867253119691	1.6565609498377038E-6	0.0012875643619392233	-7.03251735631499	7.070203767248001	1.3728557326746909
7000	-8185.751601582377	-8178.824269039885	-6.927332542491774	-8178.824269039885	1.0636719628429685	1.7507560475964046E-4	1.000037002906488	2.4564066930558514E-8	1.5671268730180373E-4	-5.582291473605425	11.449874478278671	2.2171540437819646
8000	-8188.457469826415	-8182.506431713831	-5.951038112583885	-8182.506431713831	0.9216055628323314	6.557729501285647E-5	0.9999664791594846	4.160349270071116E-9	6.450281613287424E-5	-3.4384278731765097	15.169936929148921	3.555780517922063
9000	-8188.946880187025	-8181.136488783478	-7.8103914035472	-8181.136488783478	0.9769183863006392	2.8527854534864594E-4	1.0000740409017355	6.158294137166044E-8	2.481434378348411E-4	-3.5635804847456702	32.15141898433598	3.861368063054315
10000	-8183.425344955859	-8175.513504438225	-7.911840517633731	-8175.513504438225	1.0389505927017342	9.15669959613378E-4	1.0004372559058952	4.7577202981298676E-7	6.894546905913451E-4	-2.220773590959286	25.860005238926984	4.9848185619378835
11000	-8188.3598687327385	-8179.651171549409	-8.708697183329688	-8179.651171549409	1.0329447856393463	0.0059344811162334804	0.9979953926418947	3.384583173856637E-5	0.005824642158342659	-2.492113476637581	31.97277536945594	4.42457462038252
12000	-8184.343786114235	-8174.592544273134	-9.75124184110056	-8174.592544273134	1.004859131786153	0.18883876645019335	0.9702791191405069	0.012238256115494913	0.11696911074027026	-5.337521192606937	6.398576163922363	2.158551966922034
