"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8226.78592454913,6.5436834518384,2.85311837359633e-18
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8268.43596172193,5.29037400503091,2.32776147022693e-36
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8232.40873760391,4.49602267728386,1.03124797342425e-20
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8234.93766806333,4.81137123282979,8.22361110736382e-22
"5","GTR","relaxed_log_normal","yule",-8247.59305404799,3.87095308376377,2.62360388275379e-27
"6","GTR","strict","birth_death",-8220.56493939026,7.25760031507605,1.43568550959062e-15
"7","GTR","strict","coalescent_bayesian_skyline",-8212.77812199996,5.26529558138628,3.45804898719449e-12
"8","GTR","strict","coalescent_constant_population",-8213.861562531,6.00079712017305,1.17030455979743e-12
"9","GTR","strict","coalescent_exp_population",-8211.77826609753,5.70621085770665,9.39859731116027e-12
"10","GTR","strict","yule",-8243.28600921618,3.98955939380697,1.94726056459935e-25
"11","HKY","relaxed_log_normal","birth_death",-8206.78375643237,4.83265014377431,0.00000000138723816941219
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8196.45680929049,4.83318751398054,0.0000423728024598611
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8191.34461642897,3.93628961193739,0.00703532781733866
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8199.95903993286,4.71601229444648,0.00000127669673010083
"15","HKY","relaxed_log_normal","yule",-8192.94693761408,4.25954006380152,0.00141711498247507
"16","HKY","strict","birth_death",-8193.76487783668,3.83317430397093,0.000625429215481841
"17","HKY","strict","coalescent_bayesian_skyline",-8208.31789347115,4.79869420423562,0.000000000299146398992783
"18","HKY","strict","coalescent_constant_population",-8197.14526650733,4.54191906366106,0.0000212859980532767
"19","HKY","strict","coalescent_exp_population",-8192.80352077927,4.08929038916946,0.00163564944121398
"20","HKY","strict","yule",-8191.44319729177,3.55435510209597,0.00637486825368448
"21","JC69","relaxed_log_normal","birth_death",-8187.32980325222,3.44003690205336,0.389848212359884
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8198.75130728837,4.83291662669854,0.00000427168647002258
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8199.63235809701,4.63234376912138,0.00000176996168327508
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8187.10821679336,3.2428441998733,0.486552068758675
"25","JC69","relaxed_log_normal","yule",-8189.41253910732,3.96340436144448,0.0485707554069493
"26","JC69","strict","birth_death",-8194.9979144127,3.47237596614543,0.000182254048164085
"27","JC69","strict","coalescent_bayesian_skyline",-8192.62609770736,3.48942181131453,0.00195318819478624
"28","JC69","strict","coalescent_constant_population",-8202.51347286148,5.03498233548736,0.0000000992456820663932
"29","JC69","strict","coalescent_exp_population",-8189.2801986824,3.52616014280178,0.055443364158578
"30","JC69","strict","yule",-8197.449847184,4.18190000584391,0.0000156969874455555
"31","TN93","relaxed_log_normal","birth_death",-8205.08629737311,5.70380537704624,0.00000000757439818993827
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8248.03965203775,5.24321766789694,1.67858455350567e-27
"33","TN93","relaxed_log_normal","coalescent_constant_population",-8210.75610333534,6.69984836380943,2.61205723923781e-11
"34","TN93","relaxed_log_normal","coalescent_exp_population",-8194.72201046594,4.40303724041375,0.000240160038824746
"35","TN93","relaxed_log_normal","yule",-8228.17324739256,3.36612039305391,7.12546375071136e-19
"36","TN93","strict","birth_death",-8214.77122977405,6.9689297975162,4.71232714691156e-13
"37","TN93","strict","coalescent_bayesian_skyline",-8196.78900947612,3.99551685684135,0.000030395863174647
"38","TN93","strict","coalescent_constant_population",-8198.95371768214,4.72540818647337,0.00000348894121484256
"39","TN93","strict","coalescent_exp_population",-8203.95497852211,4.25785342198385,0.0000000234786794609006
"40","TN93","strict","yule",-8200.29066093903,4.68229117731831,0.000000916360948321731
