Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-8192.553289209905	-8183.136098644651	-9.41719056525468	-8183.136098644651	1.0591074538285754	1.3209576803802796	1.241102098213213	0.22678136435644067	0.24147804894054986	0.254266334811642	0.27747425189136765	-6.275333636646282	1.3787726060997945	
1	-8188.6186992533385	-8180.260286915754	-8.358412337584728	-8180.260286915754	0.9622617690673516	0.9414870031758137	0.9976260324142316	0.2255380264044589	0.24399373751499856	0.25913276165948507	0.27133547442105765	-5.455644764288396	1.3421966909578151	
2	-8188.6186992533385	-8180.260286915754	-8.358412337584728	-8180.260286915754	0.9622617690673516	0.9414870031758137	0.9976260324142316	0.2255380264044589	0.24399373751499856	0.25913276165948507	0.27133547442105765	-5.455644764288396	1.3421966909578151	
3	-8189.690229693738	-8179.409448625538	-10.280781068199317	-8179.409448625538	1.1558337951823667	0.9442352147021816	1.0238040940972188	0.24210912921826108	0.24399373751499856	0.24402469436114765	0.2698724389055929	-7.367573933771947	0.3415236439466624	
4	-8187.757426194959	-8178.06499103474	-9.692435160219087	-8178.06499103474	1.0055930391042824	1.242030850875648	1.256310871816169	0.25308412306100103	0.23298140400759174	0.23854626302534299	0.27538820990606455	-6.576402570307201	0.4148403452845594	
5	-8186.4380041888435	-8177.754986027535	-8.68301816130901	-8177.754986027535	1.1204949787066987	1.1909489757148037	1.0333745058717314	0.2461045776691514	0.24385738155325162	0.23854626302534299	0.2714917777522543	-5.6740081891803555	0.9781963737770738	
6	-8184.665668765344	-8176.48043413088	-8.185234634463997	-8176.48043413088	0.9804480095469399	1.025715791434186	1.0724201912210087	0.25105372164514306	0.24950020242861282	0.2406091325926793	0.25883694333356516	-5.224988722188137	0.9771452733490997	
7	-8184.665668765344	-8176.48043413088	-8.185234634463997	-8176.48043413088	0.9804480095469399	1.025715791434186	1.0724201912210087	0.25105372164514306	0.24950020242861282	0.2406091325926793	0.25883694333356516	-5.224988722188137	0.9771452733490997	
8	-8184.665668765344	-8176.48043413088	-8.185234634463997	-8176.48043413088	0.9804480095469399	1.025715791434186	1.0724201912210087	0.25105372164514306	0.24950020242861282	0.2406091325926793	0.25883694333356516	-5.224988722188137	0.9771452733490997	
9	-8184.665668765344	-8176.48043413088	-8.185234634463997	-8176.48043413088	0.9804480095469399	1.025715791434186	1.0724201912210087	0.25105372164514306	0.24950020242861282	0.2406091325926793	0.25883694333356516	-5.224988722188137	0.9771452733490997	
10	-8184.665668765344	-8176.48043413088	-8.185234634463997	-8176.48043413088	0.9804480095469399	1.025715791434186	1.0724201912210087	0.25105372164514306	0.24950020242861282	0.2406091325926793	0.25883694333356516	-5.224988722188137	0.9771452733490997	
11	-8181.37414532573	-8172.491651879432	-8.882493446298149	-8172.491651879432	1.040475370668195	1.2983806475295345	1.138513560268441	0.2548098895458193	0.23301840802417767	0.2491858196281266	0.2629858828018767	-5.790422963271741	1.2811632537444924	
12	-8181.37414532573	-8172.491651879432	-8.882493446298149	-8172.491651879432	1.040475370668195	1.2983806475295345	1.138513560268441	0.2548098895458193	0.23301840802417767	0.2491858196281266	0.2629858828018767	-5.790422963271741	1.2811632537444924	
13	-8180.202109916541	-8171.957694366432	-8.2444155501092	-8171.957694366432	0.9824784641009917	1.1159207305961287	1.138513560268441	0.2435677315802353	0.24685938156097756	0.2525337029761817	0.25703918388260566	-5.224831661551168	0.88160680292179	
